"ID","Name","Source","diet","sex","strain"
"143669","ORSAM3149-1","JMUS2536","10% fat + fiber","female","CAST/EiJ"
"143701","ORSAM3209-1","JMUS2540","10% fat + fiber","male","NZO/HlLtJ"
"143654","ORSAM3210-1","JMUS2541","10% fat + fiber","male","NZO/HlLtJ"
"143598","ORSAM3223-1","JMUS2570","10% fat + fiber","female","C57BL/6J"
"143546","ORSAM3224-1","JMUS2571","10% fat + fiber","female","C57BL/6J"
"143849","ORSAM3225-1","JMUS2572","10% fat + fiber","female","C57BL/6J"
"143760","ORSAM3226-1","JMUS2573","10% fat + fiber","male","C57BL/6J"
"143775","ORSAM3227-1","JMUS2574","10% fat + fiber","male","C57BL/6J"
"143676","ORSAM3228-1","JMUS2575","10% fat + fiber","male","C57BL/6J"
"143660","ORSAM3229-1","JMUS2624","10% fat + fiber","female","NZO/HlLtJ"
"143643","ORSAM3230-1","JMUS2625","10% fat + fiber","female","NZO/HlLtJ"
"143500","ORSAM3234-1","JMUS2626","10% fat + fiber","male","NZO/HlLtJ"
"143621","ORSAM3235-1","JMUS2627","10% fat + fiber","male","NZO/HlLtJ"
"143802","ORSAM3236-1","JMUS2628","10% fat + fiber","male","NZO/HlLtJ"
"143715","ORSAM3240-1","JMUS2561","10% fat + fiber","male","NZO/HlLtJ"
"143777","ORSAM3241-1","JMUS2562","10% fat + fiber","male","NZO/HlLtJ"
"143645","ORSAM3242-1","JMUS2563","10% fat + fiber","male","NZO/HlLtJ"
"143855","ORSAM3243-1","JMUS2555","10% fat + fiber","female","NZO/HlLtJ"
"143592","ORSAM3244-1","JMUS2556","10% fat + fiber","female","NZO/HlLtJ"
"143656","ORSAM3245-1","JMUS2557","10% fat + fiber","female","NZO/HlLtJ"
"143604","ORSAM3246-1","JMUS2629","44% fat + fiber","female","NZO/HlLtJ"
"143515","ORSAM3247-1","JMUS2630","44% fat + fiber","female","NZO/HlLtJ"
"143709","ORSAM3248-1","JMUS2631","44% fat + fiber","female","NZO/HlLtJ"
"143562","ORSAM3249-1","JMUS2632","44% fat + fiber","female","NZO/HlLtJ"
"143516","ORSAM3250-1","JMUS2564","10% fat + fiber","male","CAST/EiJ"
"143502","ORSAM3251-1","JMUS2565","10% fat + fiber","female","CAST/EiJ"
"143723","ORSAM3252-1","JMUS2566","10% fat + fiber","female","CAST/EiJ"
"143615","ORSAM3253-1","JMUS2643","10% fat + fiber","male","CAST/EiJ"
"143619","ORSAM3254-1","JMUS2644","10% fat + fiber","male","CAST/EiJ"
"143600","ORSAM3255-1","JMUS2641","10% fat + fiber","male","CAST/EiJ"
"143518","ORSAM3256-1","JMUS2642","10% fat + fiber","male","CAST/EiJ"
"143833","ORSAM3257-1","JMUS2567","10% fat + fiber","male","CAST/EiJ"
"143739","ORSAM3258-1","JMUS2568","10% fat + fiber","male","CAST/EiJ"
"143765","ORSAM3259-1","JMUS2569","10% fat + fiber","male","CAST/EiJ"
"143789","ORSAM3260-1","JMUS2633","10% fat + fiber","female","C57BL/6J"
"143728","ORSAM3261-1","JMUS2634","10% fat + fiber","female","C57BL/6J"
"143634","ORSAM3262-1","JMUS2635","10% fat + fiber","female","C57BL/6J"
"143640","ORSAM3263-1","JMUS2636","10% fat + fiber","female","C57BL/6J"
"143618","ORSAM3264-1","JMUS2637","10% fat + fiber","male","C57BL/6J"
"143659","ORSAM3265-1","JMUS2638","10% fat + fiber","male","C57BL/6J"
"143594","ORSAM3266-1","JMUS2639","10% fat + fiber","male","C57BL/6J"
"143734","ORSAM3267-1","JMUS2640","10% fat + fiber","male","C57BL/6J"
"143759","ORSAM3302-1","JMUS2579","10% fat + fiber","male","NZO/HlLtJ"
"143593","ORSAM3303-1","JMUS2580","10% fat + fiber","male","NZO/HlLtJ"
"143521","ORSAM3304-1","JMUS2581","10% fat + fiber","male","NZO/HlLtJ"
"143613","ORSAM3308-1","JMUS2585","10% fat + fiber","female","NZO/HlLtJ"
"143846","ORSAM3309-1","JMUS2586","10% fat + fiber","female","NZO/HlLtJ"
"143607","ORSAM3310-1","JMUS2587","10% fat + fiber","female","NZO/HlLtJ"
"143508","ORSAM3311-1","JMUS2645","10% fat + fiber","male","NZO/HlLtJ"
"143507","ORSAM3312-1","JMUS2646","10% fat + fiber","male","NZO/HlLtJ"
"143710","ORSAM3313-1","JMUS2647","44% fat + fiber","female","NZO/HlLtJ"
"143693","ORSAM3314-1","JMUS2648","44% fat + fiber","female","NZO/HlLtJ"
"143770","ORSAM3315-1","JMUS2649","10% fat + fiber","female","NZO/HlLtJ"
"143681","ORSAM3316-1","JMUS2650","10% fat + fiber","female","NZO/HlLtJ"
"143641","ORSAM3317-1","JMUS2651","10% fat + fiber","female","NZO/HlLtJ"
"143702","ORSAM3318-1","JMUS2652","10% fat + fiber","female","NZO/HlLtJ"
"143687","ORSAM3319-1","JMUS2653","10% fat + fiber","female","NZO/HlLtJ"
"143667","ORSAM3320-1","JMUS2654","10% fat + fiber","female","NZO/HlLtJ"
"143503","ORSAM3321-1","JMUS2655","44% fat + fiber","male","NZO/HlLtJ"
"143761","ORSAM3322-1","JMUS2656","44% fat + fiber","male","NZO/HlLtJ"
"143792","ORSAM3323-1","JMUS2657","44% fat + fiber","male","NZO/HlLtJ"
"143550","ORSAM3336-1","JMUS2658","10% fat + fiber","male","C57BL/6J"
"143590","ORSAM3337-1","JMUS2659","10% fat + fiber","male","C57BL/6J"
"143529","ORSAM3338-1","JMUS2660","44% fat + fiber","male","C57BL/6J"
"143736","ORSAM3339-1","JMUS2661","44% fat + fiber","male","C57BL/6J"
"143506","ORSAM3340-1","JMUS2662","44% fat + fiber","male","C57BL/6J"
"143589","ORSAM3341-1","JMUS2663","44% fat + fiber","female","C57BL/6J"
"143602","ORSAM3342-1","JMUS2664","44% fat + fiber","female","C57BL/6J"
"143829","ORSAM3343-1","JMUS2665","44% fat + fiber","female","C57BL/6J"
"143673","ORSAM3344-1","JMUS2666","44% fat + fiber","female","C57BL/6J"
