"ID","Name","Source","diet","sex","strain"
"143581","ORSAM6330-1","JMUS3055","10% fat + fiber","female","CAST/EiJ"
"143708","ORSAM6331-1","JMUS3054","10% fat + fiber","female","CAST/EiJ"
"143686","ORSAM6332-1","JMUS3053","44% fat + fiber","male","C57BL/6J"
"143557","ORSAM6333-1","JMUS3052","44% fat + fiber","male","C57BL/6J"
"143837","ORSAM6334-1","JMUS3051","10% fat + fiber","male","C57BL/6J"
"143544","ORSAM6335-1","JMUS3050","10% fat + fiber","male","C57BL/6J"
"143696","ORSAM6336-1","JMUS3049","44% fat + fiber","female","C57BL/6J"
"143596","ORSAM6337-1","JMUS3048","44% fat + fiber","female","C57BL/6J"
"143578","ORSAM6338-1","JMUS3047","44% fat + fiber","female","C57BL/6J"
"143740","ORSAM6339-1","JMUS3046","10% fat + fiber","female","C57BL/6J"
"143790","ORSAM6340-1","JMUS3045","10% fat + fiber","female","C57BL/6J"
"143644","ORSAM6341-1","JMUS3044","10% fat + fiber","female","C57BL/6J"
"143690","ORSAM6479-1","JMUS3189","10% fat + fiber","female","C57BL/6J"
"143564","ORSAM6480-1","JMUS3190","10% fat + fiber","female","C57BL/6J"
"143764","ORSAM6481-1","JMUS3194","44% fat + fiber","female","C57BL/6J"
"143794","ORSAM6482-1","JMUS3195","44% fat + fiber","female","C57BL/6J"
"143827","ORSAM6483-1","JMUS3209","10% fat + fiber","male","C57BL/6J"
"143726","ORSAM6484-1","JMUS3210","10% fat + fiber","male","C57BL/6J"
"143700","ORSAM6485-1","JMUS3211","10% fat + fiber","male","C57BL/6J"
"143559","ORSAM6486-1","JMUS3214","44% fat + fiber","male","C57BL/6J"
"143616","ORSAM6487-1","JMUS3215","44% fat + fiber","male","C57BL/6J"
"143674","ORSAM6488-1","JMUS3216","44% fat + fiber","male","C57BL/6J"
"143787","ORSAM6489-1","JMUS3229","10% fat + fiber","female","CAST/EiJ"
"143741","ORSAM6490-1","JMUS3230","10% fat + fiber","female","CAST/EiJ"
"143567","ORSAM6491-1","JMUS3231","10% fat + fiber","female","CAST/EiJ"
"143554","ORSAM6492-1","JMUS3234","44% fat + fiber","female","CAST/EiJ"
"143856","ORSAM6493-1","JMUS3235","44% fat + fiber","female","CAST/EiJ"
"143798","ORSAM6494-1","JMUS3249","10% fat + fiber","male","CAST/EiJ"
"143588","ORSAM6495-1","JMUS3250","10% fat + fiber","male","CAST/EiJ"
"143650","ORSAM6496-1","JMUS3251","10% fat + fiber","male","CAST/EiJ"
"143786","ORSAM6497-1","JMUS3254","44% fat + fiber","male","CAST/EiJ"
"143543","ORSAM6498-1","JMUS3255","44% fat + fiber","male","CAST/EiJ"
"143753","ORSAM6499-1","JMUS3269","44% fat + fiber","female","NZO/HlLtJ"
"143622","ORSAM6500-1","JMUS3270","44% fat + fiber","female","NZO/HlLtJ"
"143836","ORSAM6501-1","JMUS3274","10% fat + fiber","male","NZO/HlLtJ"
"143533","ORSAM6502-1","JMUS3275","10% fat + fiber","male","NZO/HlLtJ"
"143513","ORSAM6503-1","JMUS3276","10% fat + fiber","male","NZO/HlLtJ"
